study,sample_size ,sex_and_ethnicity,ad_diagnose_criteria,control_matching,transcript_level_analysis,results_validation,sequencing_depth,statistical_rigor,data_availability,reproducibility,average_score_per_study,year
twine_et_al,1,1,1,1,2,1,1,2,2,1,1.3,2011
panitch_et_al,3,2,3,3,1,2,1,3,1,1,2,2021
mills_et_al,1,1,1,2,2,2,1,2,2,1,1.5,2013
miller_et_al,2,2,2,2,1,2,2,3,3,2,2.1,2017
marques-coelho_et_al,3,2,3,2,2,2,2,3,2,2,2.3,2021
luo_et_al,2,2,2,1,1,3,1,3,1,1,1.7,2023
jia_et_al,1,2,2,1,1,2,3,2,1,1,1.6,2021
shmookler_reis_et_al,1,1,1,1,1,3,1,1,1,1,1.2,2021
van_rooij_et_al,1,2,2,2,1,2,2,3,2,1,1.8,2019
sanatana_et_al,1,2,3,1,1,2,3,2,1,1,1.7,2022
piras_et_al,1,2,3,1,1,2,2,3,1,3,1.9,2019
magistry_et_al,1,2,3,1,1,3,3,2,2,1,1.9,2015
li_et_al,2,2,3,1,1,2,2,3,1,2,1.9,2021
lee_et_al,1,1,3,1,1,2,3,1,2,1,1.6,2020
king_et_al,1,2,3,2,1,3,1,2,2,1,1.8,2022
humphries_et_al,1,1,3,3,1,2,3,2,1,1,1.8,2015
guennewig_et_al,1,2,2,2,1,2,2,3,2,2,1.9,2021
fisher_et_al,1,2,3,2,1,2,1,3,3,1,1.9,2023
annese_et_al,1,1,3,2,1,2,3,2,1,3,1.9,2018
das_et_al,1,2,3,2,1,1,2,3,3,2,2,2023
felsky_et_al,1,3,2,1,1,2,1,3,2,1,1.7,2022
cho_et_al,1,2,1,2,1,2,2,2,2,1,1.6,2020
caldwell_et_al,1,2,3,2,1,1,3,3,2,1,1.9,2022
barbash_et_al,1,1,2,2,1,2,3,1,2,1,1.6,2017
average_score_per_criteria,1.3,1.8,2.4,1.7,1.1,2,2,2.4,1.8,1.4,1.8,2017.7
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
